Task	Answers
Перечень элементов совокупности в таблице называется (указывается название в именительном падеже единственного числа):	['подлежащее']
По данным о деятельности трех магазинов одной сети за месяц вычислить среднюю выручку на одного кассира, используя экономически обоснованную формулу средней. Ответ – с точностью до одной цифры после запятой, без указания единиц измерения.	['140.4']
По данным таблицы определите долю предприятия № 1 в плановом выпуске продукции. Ответ - в процентах, точность – до целого, без указания единиц измерения.	['20']
По данным таблицы определите долю предприятия № 2 в плановом выпуске продукции. Ответ - в процентах, точность – до целого, без указания единиц измерения.	['50']
По данным таблицы определите долю предприятия № 3 в плановом выпуске продукции. Ответ - в процентах, точность – до целого, без указания единиц измерения.	['30']
По данным таблицы определите относительный показатель выполнения плана по трем предприятиям, вместе взятым. Ответ - в процентах, точность – одна цифра после запятой, без указания единиц измерения.	['98.9']
По направлению связи в статистике классифицируются на:	['прямые и обратные']
По способу построения графики делятся на:	['диаграммы', 'статистические карты']
По способу построения и задачам изображения выделяют?	['статистические карты', 'диаграммы']
По форме графического образа графики делятся на:	['плоскостные', 'линейные', 'объемные']
Показатель, характеризующий производство валового внутреннего продукта в расчете на душу населения страны, является относительной величиной:	['интенсивности']
Признак, отражающий результаты развития явления за определенный период, называется:	['интервальный']
Признак, способный принимать только два противоположных значения, называется:	['альтернативный']
Признаки, характеризующие результаты развития явления за период называются?	['интервальные']
Промежуток времени от начала до конца сбора информации называется	['срок наблюдения']
Рассчитайте величину индекса детерминации, если индекс корреляции равен 0,65. Ответ – в долях единицы с точностью две цифры после запятой, без указания единиц измерения.	['0.42']
Рассчитайте величину индекса детерминации, если факторная дисперсия 	['0.73']
Рассчитайте величину индекса корреляции, если индекс детерминации равен 0,65. Ответ – в долях единицы с точностью две цифры после запятой, без указания единиц измерения.	['0.81']
Рассчитайте величину индекса корреляции, если факторная дисперсия 	['0.86']
Рассчитайте относительный показатель динамики, если по плану на 2017 предприятие должно выпустить продукции на 400 тыс. руб., фактически в 2016 году произвело продукции на 410 тыс. руб., а в 2017 году фактически выпустило продукции на 390 тыс. руб. (Ответ - в процентах, точность – одна цифра после запятой, без указания единиц измерения).	['95.1']
Рассчитайте относительный показатель планового задания, если по плану на 2017 предприятие должно выпустить продукции на 400 тыс. руб., фактически в 2016 году произвело продукции на 410 тыс. руб., а в 2017 году фактически выпустило продукции на 390 тыс. руб. (Ответ - в процентах, точность – одна цифра после запятой, без указания единиц измерения).	['97.6']
Рассчитайте средний уровень ряда динамики. Ответ с точностью – две цифры после запятой, единицы измерения не указываются.	['61.25']
Рассчитайте средний уровень ряда динамики. Ответ с точностью – одна цифра после запятой, единицы измерения не указываются.	['62.7']
Реальные доходы населения представляют собой:	['номинальные доходы, скорректированные на индекс потребительских цен']
Ряд распределения, сформированный по качественному признаку, называется:	['атрибутивным']
Ряд распределения, сформированный по количественному признаку, называется:	['вариационным']
Свойство единицы совокупности, которое может быть установлено или измерено, это:	['признак']
Связь между индексами переменного 	['2 и 4']
Сколько уровней включает система российской государственной статистики?	['два']
Сопоставьте название показателя и его назначение:	[{'степень дифференциации доходов населения': 'индекс Джини', 'степень бедности': 'индекс глубины бедности', 'суммарное значение доходов населения, недостающих до прожиточного минимума': 'дефицит дохода', 'распространение низких доходов': 'доля населения с доходами ниже прожиточного минимума'}]
Сопоставьте определения:	[{'признак': 'свойство единицы совокупности, которое может быть установлено или измерено', 'статистический показатель': 'обобщенная количественно-качественная характеристика явления в условиях конкретного места и времени', 'варьирующие признаки': 'признаки, которые могут различаться у отдельных единиц совокупности', 'постоянные признаки': 'имеют одинаковое значение у всех единиц совокупности', 'моментные признаки': 'отражают состояние явления на определенную дату'}]
Сопоставьте признак и его характеристику:	[{'возраст': 'количественный дискретный', 'объем продаж': 'количественный интервальный', 'форма собственности предприятия': 'качественный атрибутивный', 'пол человека': 'качественный альтернативный'}]
Способ получения информации, в ходе которого информация извлекается из первичных учетных или отчетных документов, называется	['документальный учет']
Способ получения информации, в ходе которого информация регистрируется в автоматическом режиме, называется	['инструментальное наблюдение']
Спрогнозируйте уровень явления в 2021 году, если известно, что уровень явления в 2018 году составлял 1600 ед., средний ежегодный темп прироста был равен 5%, средний ежегодный абсолютный прирост – 4 ед. Характер развития явления – равномерный. Ответ с точностью до целого, единицы измерения не указываются.	['1612']
Спрогнозируйте уровень явления в 2021 году, если известно, что уровень явления в 2018 году составлял 1600 ед., средний ежегодный темп прироста был равен 5%, средний ежегодный абсолютный прирост – 4 ед. Характер развития явления – равноускоренный. Ответ с точностью – одна цифра после запятой, единицы измерения не указываются.	['1852.2']
Средняя продолжительность внутрисменных перерывов составила 25 мин. со средним квадратическим отклонением в 6 мин. Отбор бесповторный, объем выборки 25 %, что составило 400 чел. Определите предельную ошибку выборки с вероятностью 0,954 (t = 2). Ответ – с точностью две цифры после запятой, без указания единиц измерения.	['0.52']
Средняя продолжительность внутрисменных перерывов составила 25 мин. со средним квадратическим отклонением в 6 мин. Отбор бесповторный, объем выборки 25 %, что составило 400 чел. Определите среднюю ошибку выборки с вероятностью 0,954 (t = 2). Ответ – с точностью две цифры после запятой, без указания единиц измерения.	['0.26']
Средняя продолжительность внутрисменных перерывов составила 25 мин. со средним квадратическим отклонением в 6 мин. Отбор повторный, объем выборки 25 %, что составило 400 чел. Определите предельную ошибку выборки с вероятностью 0,954 (t = 2). Ответ – с точностью до одной цифры после запятой, без указания единиц измерения.	['0.6']
Статистические группировки в зависимости от цели исследования бывают:	['типологическими, аналитическими и структурными']
Схематическая географическая карта, на которую наложены статистические диаграммы, это:	['картодиаграмма']
Темп прироста можно определить, исходя из темпов роста ряда динамики, как:	['темп роста минус 100']
Уровень безработицы определяется как отношение численности безработных к:	['численности экономически активного населения']
Уровень занятости определяется как отношение численности занятых к:	['численности экономически активного населения']
Установите соответствие между показателем и его функциями:	[{'шкала Чеддока': 'характеризует силу связи', 'коэффициент контингенции': 'характеризует тесноту связи между альтернативными признаками', 't-критерий': 'оценивает надежность параметров уравнения регрессии', 'индекс корреляции': 'характеризует тесноту связи между количественными признаками', 'коэффициент взаимной сопряженности Чупрова': 'характеризует тесноту связи между атрибутивными признаками'}]
Формула 	['предельной ошибки доли альтернативного признака для малой выборки']
Часть плоскости, на которой расположены геометрические знаки, изображающие статистические показатели, это:	['поле графика']
Чему равен индекс оплаты труда за два года в целом , если темп роста оплаты труда (по сравнению с предыдущим годом) составил в 2018 г. - 102 %, в 2019 г.- 98 %. Ответ в процентах, точность – две цифры после запятой, единицы измерения не указывать.	['99.96']
Чему равен относительный показатель выполнения плана, если фактическая численность работников в базисном периоде составляла 55 человек, плановая численность в отчетном периоде – 50 человек, а фактическая в отчетном периоде увеличилась по сравнению с базисной на 4 человека? (Ответ - в процентах, точность – одна цифра после запятой, без указания единиц измерения).	['118']
Что произойдет со средней, если все значения признака разделить на 10?	['средняя уменьшится в 10 раз']
Что произойдет со средней, если все частоты признака разделить на 10?	['средняя не изменится']
Что является основой статистической методологии?	['методы дедукции и индукции']
Что является предметом статистики?	['количественная сторона массовых общественных явлений']
